,event,trackID,energy,length,numb_of_voxels,numb_of_hits,numb_of_tracks,x_min,y_min,z_min,r_min,x_max,y_max,z_max,r_max,x_ave,y_ave,z_ave,r_ave,extreme1_x,extreme1_y,extreme1_z,extreme2_x,extreme2_y,extreme2_z,blob1_x,blob1_y,blob1_z,blob2_x,blob2_y,blob2_z,eblob1,eblob2,ovlp_blob_energy,vox_size_x,vox_size_y,vox_size_z,PORT
107,5080086,0,1.6831535182882156,324.7129054773015,75,7056,1,-240.325,-178.325,1037.9698875000001,182.8931689539005,-121.32499999999999,-33.32499999999999,1160.6602875,268.94527556735403,-174.727965386351,-115.56121989270213,1089.8522240480734,214.45160673525825,-218.01250000000186,-40.57499999999728,1044.786020833331,-173.38749999999962,-127.57500000000088,1058.4182874999983,-168.8859896759718,-129.3625828089666,1063.079569327224,-217.39005703211174,-41.46317603283021,1044.6191496990882,0.42573799696242265,0.07762922393574244,0.0,14.875000000000739,14.500000000000597,13.63226666666742,1a
737,5080582,0,1.5972505158986894,142.0078739248508,59,6551,1,296.675,-46.32499999999999,681.2380312500001,297.93071551956507,395.675,69.67500000000001,734.1333562500001,396.48462927331747,344.80605596984384,-2.810092321148492,709.2195769688878,346.1092884398118,332.032142857142,62.42500000000263,714.2976093750009,374.460714285716,-39.07500000000261,727.5214406250024,374.84889791031003,-37.349377449831564,725.7639383942886,337.27908198096594,56.81211529489556,714.7508188153924,0.3910531991220254,0.2387120215370686,0.0,14.14285714285802,14.50000000000075,13.223831250001467,1a
854,5080676,0,1.5949617152502586,141.84120602966743,50,7768,1,179.675,146.675,453.3194203125001,275.3701350001485,280.675,234.675,518.804803125,337.97494174864505,227.73694749172162,195.43990583448218,483.6999721924252,302.726475705696,186.88928571428315,227.3416666666692,459.86795859374774,273.4607142857169,154.00833333333082,512.2562648437524,189.48768314158968,225.46741045588044,464.60542973323106,273.0885568887034,157.06689957998708,509.2425303201855,0.6253103146294392,0.37764719432020555,0.0,14.428571428572297,14.66666666666768,13.097076562501172,1a
984,1740022,0,1.5959830361037943,240.2207914368806,71,7411,1,187.675,-35.32499999999999,409.11346875000004,192.03218805710674,325.675,66.67500000000001,506.2126781250001,326.4392918292772,264.7747538113267,8.596625752856063,452.4532442813211,266.8717570221316,194.57499999999732,59.38928571428829,429.92044218749834,291.17500000000155,1.1035714285705804,499.2770203125027,295.31003430933146,-3.0683064708043606,496.4177347734601,196.68510809859725,54.41891200736907,425.1951242217163,0.5143679386336927,0.45632786961757404,0.0,13.800000000000608,14.57142857142943,13.871315625000875,1a
1054,1740082,0,1.6195007214998183,331.9726343751827,74,7845,1,-10.324999999999989,-338.325,191.24731171875004,154.0266575953656,92.67500000000001,-126.32499999999999,313.0750546875,338.3329887108261,23.169716806363986,-266.16399450587704,229.69220015163685,268.7999829612943,-2.967857142859703,-331.25833333333617,265.69759908854235,85.31785714285972,-133.39166666666387,306.30684674479437,-0.16238363075607457,-326.72989907610724,259.5257765625,85.79031240184815,-134.03542342838514,305.4825615862716,0.4412755000487555,0.03133227894472728,0.0,14.714285714286572,14.133333333333724,13.536415885417341,1a
1300,1740272,0,1.5857593863270496,96.60319936913378,52,7973,1,-188.325,53.67500000000001,411.5013984375001,126.39387346703161,-109.32499999999999,130.675,467.16009375000004,223.35892919245472,-144.7613551367266,92.36840939802808,445.5942169727482,171.92004230168237,-181.74166666666918,124.25833333333586,432.37340917968686,-115.90833333333083,60.09166666666418,446.28808300781327,-179.99933212417483,121.21995856826027,436.4420812500001,-118.51224542588972,62.87200950532017,445.2783660970967,0.4515011346330137,0.4147076375902376,0.0,13.16666666666768,12.833333333334338,13.914673828126524,1a
1637,1740538,0,1.601272990177068,193.4443976134894,49,7205,1,-103.32499999999999,-249.325,453.33247968750004,196.58906696456953,51.67500000000001,-193.325,518.86734375,266.2189160258902,-30.470460294134178,-219.6798820317981,485.4138789275694,228.64231869143347,-96.27954545454817,-242.32500000000226,512.3138573437524,44.62954545454819,-200.32499999999771,486.09991171875004,41.23605923291728,-204.2926091440272,481.08765468749993,-91.48232898736933,-242.29714433240423,508.8238841835262,0.5896081038218096,0.2998919078582074,0.0,14.090909090909634,14.000000000001506,13.10697281250117,1a
1826,3580030,0,1.6846586155841492,303.64844608489466,74,7991,1,66.67500000000001,-39.32499999999999,140.92901484375002,70.6612429129293,186.675,67.67500000000001,309.73989375,197.89078111422978,108.66257395791499,21.469397418610246,196.21904618814787,112.13167738957098,119.17499999999964,34.237500000001134,147.96280146484105,179.17500000000265,60.98750000000263,260.503387402345,116.69300480010433,32.4676691038912,144.99939516712587,180.23364451512586,62.35506671741797,266.3850984375,0.6302268259793663,0.04699212493032928,0.0,15.000000000000753,13.37500000000075,14.06757324218799,1a
1898,3580108,0,1.5999494652911228,121.46024879951752,53,8451,1,-110.32499999999999,251.675,597.26533125,257.68422778664586,-37.32499999999999,332.675,675.1354312500001,348.6071732623986,-74.98789965760605,295.1574933736948,634.9790069944179,304.86965939692635,-103.0250000000024,325.9250000000025,668.6462562500026,-44.62499999999759,258.4249999999975,603.7545062499976,-48.3315028565244,261.36660768914305,607.8436127654447,-101.07777015515028,324.08958409396826,667.1158703586913,0.5196112755330055,0.38811859714240676,0.0,14.600000000001202,13.500000000001023,12.978350000001,1a
2115,3580280,0,1.6016860740419723,148.7320348245715,64,6858,1,253.675,103.67500000000001,566.902153125,302.075754157794,345.675,216.675,647.9152312500001,377.92500744195274,295.0914892044351,165.39111080330656,609.2729076391505,340.1883361686933,260.246428571426,195.4875000000019,627.6619617187515,286.532142857142,110.7374999999974,573.6532429687476,263.27332740912766,193.34767266607494,627.3688894064339,287.5756581464397,111.56016490318414,578.8049307846453,0.49672206527901375,0.14315356251666092,0.0,13.14285714285802,14.125000000000753,13.502179687500984,1a
2261,3580384,0,1.5902582660577869,194.161127862233,59,7069,3,-124.32499999999999,75.67500000000001,966.8389500000002,105.07669223000885,-31.32499999999999,219.675,1051.556953125,235.30365753638424,-72.58002212584985,141.20123550918754,1001.8863520610299,162.6395015456217,-88.38750000000113,78.75833333333159,973.5575390624978,-88.38750000000113,212.2583333333361,1054.1806078125028,-84.29949136764668,82.70648431158786,975.6001856639772,-86.60986037363298,211.19106596000137,1049.0307470131406,0.4249330620161374,0.05334716326092169,0.0,14.375000000000753,14.833333333333833,13.437178125000855,1a
2367,3580470,0,1.5942758461869362,118.41024265421413,50,6384,1,261.675,116.67500000000001,580.5799125000001,304.7129161194189,329.675,213.675,649.0555968750001,387.40864890964946,303.4431276741432,173.88524089512057,614.1651699038533,350.10886009630775,295.675,123.60357142856887,601.1226178124989,322.8750000000024,206.74642857143118,587.4274809374978,320.20818736463514,203.51553707288264,592.5525902606155,291.88442259736246,124.01015401436682,604.3381663389442,0.5223059672818905,0.07010677096948383,0.0,13.600000000001216,13.857142857143728,13.695136875001253,1a
2388,3580490,0,1.592625430838136,145.87103764330203,54,7494,1,12.675000000000011,154.675,781.0656656250001,162.63828346979074,75.67500000000001,250.675,868.4851218750001,257.4504054182087,36.606363767894166,195.65123663446812,817.5946100321194,199.5643883237343,18.97499999999761,161.60357142856884,788.3506203124975,56.77500000000121,244.74642857143118,846.6302578125017,19.401895579598968,165.97844184668855,792.2692550829937,56.985387196967324,244.61935151379333,841.7966112737901,0.4267552510815963,0.06862721980382562,0.0,12.600000000001197,13.857142857143714,14.569909375000975,1a
2406,3580504,0,1.555068050270825,208.23548714008894,81,8245,1,171.675,-30.32499999999999,628.6099968750001,173.16599334164894,234.675,98.67500000000001,792.0175593750001,238.88953775751673,201.08840643163776,20.673313221303562,701.0585586638816,203.51774922854986,177.9749999999976,91.50833333333601,784.58994289773,215.77500000000123,-8.825000000001987,636.0376133522701,217.64528652695284,-8.373745461963868,637.4863963050617,178.7313988110413,89.93234846200698,789.6853158982674,0.13829904347171407,0.038900499570222874,0.0,12.600000000001216,14.333333333334,14.855232954545954,1a
2490,3580568,0,1.5878486143017678,72.97978454317307,32,7319,1,-289.325,-64.32499999999999,226.75233984375004,229.3288277779311,-229.325,5.675000000000011,266.70587343750003,289.475234260204,-255.76576714831742,-25.81248219679085,251.13981882722197,257.8586565715636,-281.82500000000226,-1.3249999999975897,246.72910664062505,-251.82499999999925,-57.32500000000239,260.046951171877,-253.40617464828674,-55.03351093847601,256.5445518687676,-280.56217245742255,-2.948165307650579,245.42484179722743,0.6071110024058385,0.29408381364046804,0.0,15.000000000001478,14.0000000000012,13.317844531252007,1a
2518,3580594,0,1.5895856525865286,285.8485095599809,73,8203,1,107.67500000000001,7.675000000000011,256.98541640625,124.15176700313211,201.675,104.67500000000001,379.2165890625001,215.40545779993602,143.2097226304742,72.5667089656717,303.32124256240354,162.38966066193274,114.38928571428315,70.03214285714373,263.77603710937234,194.96071428571688,83.88928571428744,318.101002734375,116.00877021817374,74.62451164304446,267.42349311790093,192.83326777697872,78.81970007493754,314.48936027516964,0.26753872135469153,0.22242726970770582,0.0,13.428571428572283,13.857142857143716,13.581241406250683,1a
2520,3580598,0,1.6027130103323026,157.2345302496482,52,7921,1,-317.325,-193.325,626.7528750000001,237.53244252101646,-169.325,-129.325,682.6277718750001,361.0970247038876,-234.88875235395628,-161.47570480939015,653.7451832664508,286.5433942872951,-309.9250000000027,-174.1250000000012,675.6434097656274,-176.7249999999973,-174.1250000000012,633.7372371093729,-181.82702042429773,-174.87442495208543,638.8042781336605,-307.5410339772011,-172.01014696929002,674.0487781232782,0.45587877150938094,0.35134626343408326,0.0,14.80000000000058,12.800000000001205,13.968724218751504,1a
2698,1140026,0,1.5946748931398533,249.38855688556285,68,8230,1,190.675,-49.32499999999999,308.6400843750001,194.3614191397048,277.675,51.67500000000001,471.48806250000007,277.6878845934766,231.27875145765657,8.838137208709954,381.4082059175516,232.59907106659932,212.4249999999985,15.603571428572298,316.04226519886095,270.4250000000025,1.1750000000000114,434.4771583806835,212.06730043391036,18.876728547398518,315.1182536827104,268.1564999823953,3.5470946208095513,438.6967413345901,0.43884806634073303,0.41021110425435076,0.0,14.500000000000995,14.428571428572283,14.80436164772783,1a
2962,1140230,0,1.5863731874560054,237.70486906866222,59,7120,2,-384.325,47.67500000000001,811.3256156250001,300.8709212436456,-281.325,113.67500000000001,921.0363093750001,390.95141801763555,-335.61907170519305,70.98010694720878,856.741709618443,343.33669837076394,-303.2916666666674,83.3694444444423,823.9272708333352,-288.55833333333374,111.92499999999852,883.6866791666693,-307.22326322983724,79.0193978932039,828.4208800676507,-284.962527105668,108.39175650951209,889.9540124999999,0.5218478009214325,0.042233931926945065,0.0,14.733333333333746,14.277777777778113,14.939852083333506,1a
3022,1140276,0,1.603449611083387,192.3000114941185,63,7769,1,155.675,249.675,668.7244593750002,334.6307834763562,231.675,345.675,768.6885937500001,388.57150082063407,202.42173574742304,298.0140338525381,706.4720091082825,360.96679741854757,212.67500000000155,283.96071428571344,675.8647546874977,225.3416666666692,256.5321428571403,761.5482984375026,209.58309742711947,288.7987319971671,679.4860958677131,224.42659345606637,258.8963972260147,759.7601247083625,0.5516546557381904,0.28914878386753257,0.0,12.66666666666768,13.714285714286575,14.280590625000855,1a
3104,1140334,0,1.5956554356317119,171.2545239435507,47,8203,1,137.675,170.675,461.03564062500004,255.8250598553629,257.675,240.675,564.140915625,327.21432005644255,203.32141507849056,207.46015959034642,511.32208610023173,293.1872783461514,145.17499999999737,219.6750000000012,556.7762531250025,250.17500000000265,205.675,468.40030312499744,245.39479895169586,203.67442470558208,467.72478098990604,147.66777319685076,217.87168219526828,557.4295099699781,0.37613972562231973,0.28369446652893704,0.0,15.000000000000739,14.000000000001194,14.72932500000087,1a
3159,1140392,0,1.5936043974663805,321.6668320874827,69,8324,1,-265.325,-224.325,308.5178250000001,216.0313895016185,-201.325,-17.32499999999999,386.48199843750007,340.82284437813144,-232.67786863000086,-103.15992132125982,336.79178041435216,260.995212048138,-246.1250000000012,-24.717857142854335,315.0148394531226,-233.325,-143.00357142857206,315.0148394531226,-241.57704435775133,-25.484311355418836,315.74271828908843,-236.6373657840968,-145.1025294903682,319.2504844172194,0.38738362368338186,0.13352985556365535,0.0,12.800000000001205,14.785714285714704,12.994028906251003,1a
3210,1140424,0,1.600387897228212,126.77797650898309,56,7629,1,-138.325,0.6750000000000114,581.4256875000001,66.36008777872433,-58.32499999999999,101.67500000000001,659.5274437500001,158.154548622542,-95.98921018176343,71.10982288153087,625.0638163867891,120.87901752380886,-104.99166666666716,94.46071428571688,653.0189640625026,-64.99166666666416,80.03214285714458,587.9341671874977,-108.64534880522007,90.78001503854098,649.3055138796785,-66.99211273442324,79.19768602177722,586.9100037392914,0.5331456243713518,0.4780622474641083,0.0,13.333333333334338,14.428571428572285,13.016959375000965,1a
3319,1140496,0,1.6941609926508239,249.43459176273126,64,7345,1,-122.32499999999999,287.675,206.95134140625004,304.99780531997277,93.67500000000001,379.675,262.71060703125005,389.66653853006164,-57.30484404456191,327.4416227999032,232.91011513246025,338.8968894412493,-115.12500000000279,307.38928571428403,241.8008824218758,86.47500000000281,373.103571428574,255.7406988281273,-110.05152061950984,307.55765618426557,237.75609426098057,85.6663834676435,372.9663385011439,256.70302555614563,0.8447915531590829,0.15762200353479666,0.0,14.400000000000404,13.14285714285802,13.93981640625151,1a
3415,1140578,0,1.5292340452290407,144.13943024389462,61,7567,1,170.675,165.675,372.7022578125001,261.95431137891205,235.675,268.675,469.56272343750004,345.54740810777326,206.1360970685215,203.00941421301837,405.3251428716871,290.074874965763,190.17499999999882,261.31785714285974,434.9697000000009,216.1750000000012,173.0321428571403,379.6208624999975,214.89667953669232,176.1933285252015,379.65384135548726,190.4084058100233,258.48792011613614,440.8004102062458,0.7387979175925735,0.12360436873851217,0.0,13.000000000001194,14.714285714286575,13.837209375000839,1a
3791,3260236,0,1.5909001212279,150.86568814837872,54,9090,1,-67.32499999999999,267.675,731.6271375000001,267.6751973007585,0.6750000000000114,376.675,835.0072500000001,380.29194213130523,-29.426558551166437,318.31823697489887,785.6655641478524,319.9260901443147,-60.525000000002386,369.8625000000027,739.0114312499976,-6.12499999999759,274.48749999999734,827.6229562500026,-8.686270816218052,279.28219814256994,824.5201671572231,-57.62311111231124,367.29473586298974,739.4273691403563,0.5401457678804401,0.37718867887507734,0.0,13.600000000001202,13.625000000000739,14.768587500000876,1a
3845,3260286,0,1.6630475495266974,266.0019301183295,66,8655,1,190.675,16.67500000000001,573.1013531250001,192.6729385513181,288.675,168.675,733.0693125000001,328.05229956517604,225.81827656241754,89.32614135212013,681.1590819905975,247.3469461577225,197.67499999999742,23.584090909088196,711.2554998579569,281.67500000000257,161.76590909091183,580.3726240056792,200.22627640288601,26.309011075610915,713.8420377284363,282.4140197994995,156.67427724824597,575.314531838447,0.44270901048116484,0.08183738094938306,0.0,14.000000000000853,13.818181818182367,14.542541761364191,1a
4038,3260452,0,1.597596299240656,173.74759832235773,62,8184,1,125.67500000000001,218.675,421.96773281250006,285.0159842008865,218.675,304.675,528.2239265625001,369.10494611966396,172.0683268293333,276.24789325883336,470.2026351646851,326.5312049909537,132.3178571428546,297.5083333333358,428.60874492187247,212.03214285714546,297.5083333333358,521.5829144531276,135.92583652209365,292.909223407331,433.3377249122939,209.89344775074892,293.3902403000864,520.2445900326649,0.5466137293932312,0.47614180814044355,0.0,13.285714285715144,14.333333333334338,13.282024218750735,1a
4096,3260510,0,1.5887315931986983,161.60519980366172,66,7981,1,271.675,-98.32499999999999,295.09239375000004,281.6425238666917,346.675,-14.324999999999989,423.31005937500004,351.8844430349259,296.8057127351219,-60.10004246801408,360.15738766826877,303.92620484938953,279.17499999999757,-91.32500000000249,302.2155973958307,324.1750000000012,-91.32500000000249,416.18685572916934,282.1432688899522,-88.46830267928271,301.20539972846615,323.1064453241077,-86.9934627593697,419.7815709158863,0.3424200221302157,0.13313650892759835,0.0,15.000000000001194,14.000000000000995,14.24640729166731,1a
4143,3260554,0,1.5989680223721883,136.58425281482914,56,8583,1,223.675,86.67500000000001,202.66620937500002,245.28750732558723,322.675,180.675,280.43016093750003,363.2162733826776,270.75859133303123,131.51237980059116,243.31826249046205,301.2961378478774,230.746428571426,93.38928571428315,273.9498316406275,315.603571428574,173.96071428571688,209.14653867187252,234.57110934967602,96.48909252905955,275.4857845697835,312.2378254427405,169.99321845970715,210.486046156215,0.5090729833482353,0.3690961324220186,0.0,14.142857142857991,13.428571428572283,12.960658593750992,1a
4298,3260684,0,1.5912920431383868,195.00101077665596,64,7183,1,280.675,23.67500000000001,480.83700000000005,292.03922895734405,376.675,114.67500000000001,605.9479781250001,380.0684296939171,338.3085075577288,57.02960665992241,534.9499172490816,344.0889480492923,314.96071428571344,108.17500000000258,598.9973682291693,342.3892857142866,30.17499999999744,487.78760989583077,343.98165399938296,32.697472119018684,487.1317730979613,311.86226035955576,105.39173973705886,598.6841167851665,0.6323794112612624,0.2127780030010337,0.0,13.714285714286575,13.000000000000853,13.901219791667302,1a
